områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Tromsø;K;Yrkesdøgn;7,6m - 12,5m;Mai;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;12,5m - 16,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;16,0m - 24,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;>= 24,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Helgedøgn;Alle;Mai;-;-;-;-;-;-
By;Tromsø;K;Helgedøgn;< 5,6m;Mai;-;-;-;-;-;-
By;Tromsø;K;Helgedøgn;>= 5,6m;Mai;-;-;-;-;-;-
By;Tromsø;K;Helgedøgn;5,6m - 7,6m;Mai;-;-;-;-;-;-
By;Tromsø;K;Helgedøgn;7,6m - 12,5m;Mai;-;-;-;-;-;-
By;Tromsø;K;Helgedøgn;12,5m - 16,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Helgedøgn;16,0m - 24,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Helgedøgn;>= 24,0m;Mai;-;-;-;-;-;-
By;Tromsø;K;Alle;Alle;Juni;-;-;-;-;-;-
By;Tromsø;K;Alle;< 5,6m;Juni;-;-;-;-;-;-
By;Tromsø;K;Alle;>= 5,6m;Juni;-;-;-;-;-;-
By;Tromsø;K;Alle;5,6m - 7,6m;Juni;-;-;-;-;-;-
By;Tromsø;K;Alle;7,6m - 12,5m;Juni;-;-;-;-;-;-
By;Tromsø;K;Alle;12,5m - 16,0m;Juni;-;-;-;-;-;-
By;Tromsø;K;Alle;16,0m - 24,0m;Juni;-;-;-;-;-;-
By;Tromsø;K;Alle;>= 24,0m;Juni;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;Alle;Juni;-;-;-;-;-;-
By;Tromsø;K;Yrkesdøgn;< 5,6m;Juni;-;-;-;-;-;-
